Hajime Isayama
Barbara Allan
Nintendo
Jason Schreier
Andrzej Sapkowski
Cullen Bunn
Robert Jordan
Nicola Marsh
Mark Lawrence
Dale Carnegie
Sue Watson
Morgan Rice
Editors of Martha Stewart Living
Edgar Allan Poe
Laura Levine
Brian McGilloway
Michael E. Porter
Brian Tracy
George R. R. Martin
B A Paris
Jim Collins
Bob Cinnamon
Clive Cussler
Paul S. Kemp
Elizabeth Adler
Faith Hunter
Agatha Christie
Robin Hobb
Patrick Rothfuss
Georges Simenon
Ray Dalio
Sara Rosett
Douglas Adams
Geoffrey G. Parker
David Baldacci
William Shakespeare
Leo Tolstoy
Blake Pierce
Andr̩ Aciman
Blake Crouch
Steven D. Levitt
Tony Robbins
Sallie Stone
John Grisham
Jason Aaron
Brian Michael Bendis
Derren Brown
Rachel Renee Russell
J. R. R. Tolkien
Stephen Guise
Stuart Sim
James S. A. Corey
Dan Slott
Zoe Ferraris
Jen Sincero
Geoff Johns
Holly Black
Renee Evenson
Lorenzo Carcaterra
David Ulrich
Jeffrey Archer
Katherine Crowley
James Fries
George R.R. Martin
Michael G. Manning
Chimamanda Ngozi Adichie
J. M. DeMatteis
Ernest Cline
Brent Weeks
Alex Lake
Michael A. Stackpole
Jason Fried
Ari Marmell
Natahan Edmondson
Martina Cole
The Awkward Yeti
Pierce Brown
Charles Duhigg
Mathias Weske
Adam Kay
William J. O'Neil
Jason Kelly
Nir Eyal
Alvin Hall
Gerald Seymour
Garrard Conley
Peter V. Brett
Matthew Mercer
David J. Schwartz
Gregory David Roberts
Scott Snyder
Michael Connelly
Sun Tzu
Philip K. Dick
Robert Maurer
Doug Johnstone
Stephen King
Jim Starlin
David Allen
David Lagercrantz
Rolf Dobelli
Jeff Kinney
Brian Azzarello
Dorothy Gilman
Simon Sinek
Timothy Zahn
Lee Child
Dan Ariely
M. J. Arlidge
Rhys Bowen
David R. Hawkins, M.D./Ph.D.
James Milner
Robert Kirkman
Peter Newman
Arthur Conan Doyle
Yevgeny Zamyatin
Tom Taylor
Ed Brubaker
J.M. Barlog
Terry Hayes
Linda Castillo
Brent Schlender
Jack Canfield
Derek Fridolfs
John C. Maxwell
Peter J. Tomasi
Napoleon Hill
Edward Fields
Brian Staveley
Vanessa Van Edwards
Michaella McCollum
Mary Higgins Clark
Sir Arthur Conan Doyle
Michael Hyatt
Jim Butcher
Julie Andrews
Jonathan Hickman
Robert B. Cialdini, PhD
Voltaire
Joanne Fluke
Fred Van Lente
T. Harv Eker
Jonathan Maberry
Matthew Walker
